IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.148.51,3,3,0.00,13.22,110.85,HKG
104.17.17.63,3,3,0.00,12.83,107.85,HKG
104.16.157.212,3,3,0.00,12.75,106.26,HKG
104.17.151.135,3,3,0.00,13.21,103.86,HKG
104.16.148.104,3,3,0.00,13.04,103.71,HKG
104.17.157.3,3,3,0.00,13.37,101.50,HKG
104.19.147.83,3,3,0.00,13.24,98.95,HKG
104.17.175.65,3,3,0.00,12.72,96.02,HKG
104.17.158.152,3,3,0.00,13.28,94.48,HKG
104.17.30.244,3,3,0.00,13.42,38.26,HKG
